business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MILKMAN DAIRY,Dairy and Milk Parlour,Cafe,Cafe,228125,+91 94512 13895,N/A,4.2,,"सुल्तानपुर कुड़वार मार्ग, Payagpatti, Bhatthjarauli, Uttar Pradesh 227808",228125,26.287173199999998,82.0529018,ChIJFe0kahF9mjkRbgvYbhy5axY,https://www.google.com/maps/place/?q=place_id:ChIJFe0kahF9mjkRbgvYbhy5axY,part_025,2026-09-19 05:51:52,1
Milk Port Shop,Dairy and Milk Parlour,Dairy store,Dairy store,228125,N/A,N/A,4.4,,"733J+VP2, Pyarepatti, Sultanpur, Uttar Pradesh 228001",Pyarepatti,26.2546841,82.0818341,ChIJN1ZW9-d9mjkR1xBs_9k64ms,https://www.google.com/maps/place/?q=place_id:ChIJN1ZW9-d9mjkR1xBs_9k64ms,part_025,2026-09-19 05:51:52,2
Milken Dairy Ice Cream,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,228125,+91 88535 21963,N/A,4.0,,"7348+V39, Unnamed Road, Gabhariya, Mahuariya, Sultanpur, Uttar Pradesh 228001","Gabhariya, Mahuariya",26.2571504,82.0652291,ChIJUzk2TeZ8mjkR1lNGWcfQEbA,https://www.google.com/maps/place/?q=place_id:ChIJUzk2TeZ8mjkR1lNGWcfQEbA,part_025,2026-09-19 05:51:52,3
Parag Milk Bar,Dairy and Milk Parlour,Restaurant,Restaurant,228125,N/A,N/A,4.5,,"Tikonia park, Civil Line, Sultanpur, Uttar Pradesh 228001",Civil Line,26.264441299999998,82.0730643,ChIJAy-Oc1B9mjkR0usiFi9A_uM,https://www.google.com/maps/place/?q=place_id:ChIJAy-Oc1B9mjkR0usiFi9A_uM,part_025,2026-09-19 05:51:52,4
Amul Ice-Cream Parlour,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,228125,+91 70071 82067,N/A,4.7,,"Shop No 1, Mangal deep Complex, P.n, beside over bridge, near Muskan Tower, b Bank, Khairabad, Sultanpur, Uttar Pradesh 228001","b Bank, Khairabad",26.2603808,82.0679852,ChIJU0_sxTJ9mjkR-T_NoJ6TYzE,https://www.google.com/maps/place/?q=place_id:ChIJU0_sxTJ9mjkR-T_NoJ6TYzE,part_025,2026-09-19 05:51:52,5
Giain's ice cream sultanpur,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,228125,N/A,https://www.gianisicecream.com/products/,4.0,,"bus stand, near SBI bank, Badhaiyabeer, Civil Line, Sultanpur, Uttar Pradesh 228001","Badhaiyabeer, Civil Line",26.2645439,82.07216919999999,ChIJmzWxuvR9mjkRcRuCs10tHok,https://www.google.com/maps/place/?q=place_id:ChIJmzWxuvR9mjkRcRuCs10tHok,part_025,2026-09-19 05:51:52,6
Amul Ice Cream Parlour,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,228125,+91 1800 258 3333,http://www.amul.com/,5.0,,"Ratan Pur, Uttar Pradesh 228118",228125,26.2877944,82.0814384,ChIJqTKiLxt9mjkR1U1OtT6WklM,https://www.google.com/maps/place/?q=place_id:ChIJqTKiLxt9mjkR1U1OtT6WklM,part_025,2026-09-19 05:51:52,7
Indian Dairy,Dairy and Milk Parlour,Dairy store,"Dairy store, Service establishment",228125,+91 94517 57083,N/A,5.0,,"Indian Dairy, 228125, India",228125,21.0680074,82.7525294,ChIJ7ey1E__bkDkRhQO76DIfeVk,https://www.google.com/maps/place/?q=place_id:ChIJ7ey1E__bkDkRhQO76DIfeVk,part_025,2026-09-19 05:51:53,8
Awantika Sweet Shop & Restaurant,Dairy and Milk Parlour,Sweet shop,Sweet shop,228125,+91 91296 61221,N/A,4.8,,"Bus Station, 1077, Badhaiyabeer, Civil Line, Sultanpur, Uttar Pradesh 228001","Badhaiyabeer, Civil Line",26.265463399999998,82.0732669,ChIJu23Q__F9mjkRufeAlQlY_94,https://www.google.com/maps/place/?q=place_id:ChIJu23Q__F9mjkRufeAlQlY_94,part_025,2026-09-19 05:51:53,9
Agra Misthan Bhandar,Dairy and Milk Parlour,Restaurant,Restaurant,228125,+91 94156 92084,N/A,4.0,,"Agra Misthann Bhandar Chauraha, Uttar Pradesh 228001",Civil Line Number 2,26.2614865,82.0706338,ChIJdxh_qO98mjkRAIhc2EsKF8c,https://www.google.com/maps/place/?q=place_id:ChIJdxh_qO98mjkRAIhc2EsKF8c,part_025,2026-09-19 05:51:53,10
Milk Parlour,Dairy and Milk Parlour,Dessert shop,Dessert shop,228125,N/A,N/A,4.0,,"Pipariya, Madhya Pradesh 482010",228125,23.2429126,79.97084319999999,ChIJn3T9y3uvgTkRO7IXNWRhxzc,https://www.google.com/maps/place/?q=place_id:ChIJn3T9y3uvgTkRO7IXNWRhxzc,part_025,2026-09-19 05:51:53,11
Gaupalak milk Pvt. Ltd.,Dairy and Milk Parlour,Milk delivery service,"Milk delivery service, Dairy, Dairy farm, Dairy Products Supplier, Supplier",228125,+91 96701 19952,http://www.gaupalak.in/,4.8,,"Airdhe Rd, Bada Lalpur, Chandmari, Varanasi, Airhe, Uttar Pradesh 221002","Bada Lalpur, Chandmari",25.38404,82.971639,ChIJkTJAMCktjjkRaNCY_382E74,https://www.google.com/maps/place/?q=place_id:ChIJkTJAMCktjjkRaNCY_382E74,part_025,2026-09-19 05:51:53,12
