business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Maheshwari Dairy Products,Dairy and Milk Parlour,Dairy store,"Dairy store, Food Processing Company",241123,+91 99560 89566,N/A,4.3,,"Madhoganj, Bhaghauli Rd, Hardoi, Uttar Pradesh 241302",241123,27.1693516,80.21206839999999,ChIJtULbGvOMnjkRvlpoklbLRIM,https://www.google.com/maps/place/?q=place_id:ChIJtULbGvOMnjkRvlpoklbLRIM,part_027,2026-09-19 05:51:52,1
Lakhan dairy,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,241123,N/A,N/A,5.0,,"Kanshi Ram Colony, Hardoi, Behta Chand, Uttar Pradesh 241001",Kanshi Ram Colony,27.372307499999998,80.1526746,ChIJiRcFKoj3njkRzoLjM6huNqo,https://www.google.com/maps/place/?q=place_id:ChIJiRcFKoj3njkRzoLjM6huNqo,part_027,2026-09-19 05:51:52,2
Paras Milk Factory,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,241123,N/A,N/A,4.0,173.0,"Usarha, Uttar Pradesh 241204",241123,27.0935942,80.4509808,ChIJGyLulCiWnjkR_BE-Q-ugGtE,https://www.google.com/maps/place/?q=place_id:ChIJGyLulCiWnjkR_BE-Q-ugGtE,part_027,2026-09-19 05:51:52,3
Amor Farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,241123,+91 98382 04786,N/A,4.9,53.0,"Chawan, Bhatpur, Uttar Pradesh 241202",241123,27.1815523,80.7636302,ChIJ5XCZIWm3njkR45zN5Pbz5DA,https://www.google.com/maps/place/?q=place_id:ChIJ5XCZIWm3njkR45zN5Pbz5DA,part_027,2026-09-19 05:51:52,4
Dairy Milk Ice Cream,Dairy and Milk Parlour,Store,"Store, Ice cream shop",241123,N/A,N/A,4.1,9.0,"5QRH+V92, Anpara, Uttar Pradesh 231225",241123,24.1921456,82.77839639999999,ChIJDXDIr6AljzkRYCJKThpLc-0,https://www.google.com/maps/place/?q=place_id:ChIJDXDIr6AljzkRYCJKThpLc-0,part_027,2026-09-19 05:51:52,5
Krishna amul Parlour,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,241123,N/A,N/A,4.1,15.0,"Lal Darwaja Rd, Kadrigate, Farrukhabad, Uttar Pradesh 209625",Kadrigate,27.3897609,79.59579459999999,ChIJh500RekxnjkRNFl_rvugC84,https://www.google.com/maps/place/?q=place_id:ChIJh500RekxnjkRNFl_rvugC84,part_027,2026-09-19 05:51:52,6
Milkful Dairy india pvt Ltd,Dairy and Milk Parlour,Manufacturer,Manufacturer,241123,N/A,N/A,5.0,3.0,"565C+5Q7, Pahnutera, Uttar Pradesh 241126",241123,27.158033399999997,80.2204884,ChIJlZKdJgCNnjkRn4amTN4Jigs,https://www.google.com/maps/place/?q=place_id:ChIJlZKdJgCNnjkRn4amTN4Jigs,part_027,2026-09-19 05:51:52,7
JEEVAN ANAND DAIRY BILGRAM,Dairy and Milk Parlour,Dairy,Dairy,241123,N/A,N/A,5.0,1.0,"52FV+7FF, Bilgram, Uttar Pradesh 241301",241123,27.173193299999998,80.0436639,ChIJZ11SBwBhnjkRHC7in6e9j0c,https://www.google.com/maps/place/?q=place_id:ChIJZ11SBwBhnjkRHC7in6e9j0c,part_027,2026-09-19 05:51:52,8
Jivan Anand Dairy,Dairy and Milk Parlour,Store,Store,241123,N/A,N/A,5.0,1.0,"59V4+P8J, Lonhra, Baruasarsand, Uttar Pradesh 241126",241123,27.1943439,80.3557565,ChIJo-JQnK3LmTkRboqTMwrc7wI,https://www.google.com/maps/place/?q=place_id:ChIJo-JQnK3LmTkRboqTMwrc7wI,part_027,2026-09-19 05:51:52,9
Milk Parlour,Dairy and Milk Parlour,Dessert shop,Dessert shop,241123,N/A,N/A,4.0,3.0,"Pipariya, Madhya Pradesh 482010",241123,23.2429126,79.97084319999999,ChIJn3T9y3uvgTkRO7IXNWRhxzc,https://www.google.com/maps/place/?q=place_id:ChIJn3T9y3uvgTkRO7IXNWRhxzc,part_027,2026-09-19 05:51:52,10
