business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Amla all products,Organic Food Store,General store,General store,230402,+91 94511 12440,N/A,4.9,72.0,"SH-36 Bhuwalpur kila Utter Pradesh 230001 Pratapghar, Uttar Pradesh 230002",230402,25.8845131,81.938313,ChIJx3LzSkGVmjkRXWCX5ZtxVj4,https://www.google.com/maps/place/?q=place_id:ChIJx3LzSkGVmjkRXWCX5ZtxVj4,part_026,2026-09-19 05:51:51,1
राजलक्ष्मी शुद्ध सरसों Oil's,Organic Food Store,Manufacturer,Manufacturer,230402,+91 84482 25457,http://nirmalindustries.in/,4.4,97.0,"VWWR+R9J, Pratapgarh, Uttar Pradesh 230002",230402,25.896579799999998,81.94103989999999,ChIJE0ydNbiRmjkR6j9RYv5xb9E,https://www.google.com/maps/place/?q=place_id:ChIJE0ydNbiRmjkR6j9RYv5xb9E,part_026,2026-09-19 05:51:51,2
Kesarwani Super Market,Organic Food Store,Indian grocery store,"Indian grocery store, Grocery store",230402,+91 77059 31008,N/A,4.2,46.0,"Paltan Bazar Colony, Bela Pratapgarh, Uttar Pradesh 230001",Paltan Bazar Colony,25.9194106,81.99793079999999,ChIJ-6sKXmiRmjkRlsoJzlSVicw,https://www.google.com/maps/place/?q=place_id:ChIJ-6sKXmiRmjkRlsoJzlSVicw,part_026,2026-09-19 05:51:51,3
Anuj Kirana & Cosmetic Store,Organic Food Store,Indian grocery store,Indian grocery store,230402,+91 88089 82886,N/A,5.0,3.0,"Katra Gulab Singh, Patti, to, Kamasin Road, Katra Gulab Singh, Pure Sukhdev, Uttar Pradesh 230402",Katra Gulab Singh,25.760504899999997,81.77465629999999,ChIJqbxod6nDmjkRzPKC5upDvjo,https://www.google.com/maps/place/?q=place_id:ChIJqbxod6nDmjkRzPKC5upDvjo,part_026,2026-09-19 05:51:51,4
Muggu Mobile shope,Organic Food Store,Supermarket,Supermarket,230402,N/A,N/A,3.9,455.0,"Vishwanathganj bajar, Uttar Pradesh 230404",230402,25.8125035,81.9415082,ChIJTbQvvBy-mjkRc1DJSVjtlEg,https://www.google.com/maps/place/?q=place_id:ChIJTbQvvBy-mjkRc1DJSVjtlEg,part_026,2026-09-19 05:51:51,5
Mandhata,Organic Food Store,Sweet shop,Sweet shop,230402,N/A,N/A,4.4,9.0,"QVX9+2PW, Jethwara Rd, Mandhata, Amaiyamau, Uttar Pradesh 230402",230402,25.7976143,81.8693206,ChIJXQWpdwC_mjkRlBNTvM4Nmtw,https://www.google.com/maps/place/?q=place_id:ChIJXQWpdwC_mjkRlBNTvM4Nmtw,part_026,2026-09-19 05:51:51,6
कृष्ना मार्केट,Organic Food Store,Grocery store,Grocery store,230402,N/A,N/A,3.9,44.0,"Saraiaanaadev, Uttar Pradesh 230144",230402,25.8694298,81.8552194,ChIJZdHthy_rmjkRoy_-XMOmm_8,https://www.google.com/maps/place/?q=place_id:ChIJZdHthy_rmjkRoy_-XMOmm_8,part_026,2026-09-19 05:51:51,7
Aaryan Single Propritership,Organic Food Store,Organic food store,Organic food store,230402,+91 98939 14659,N/A,,,"Gram Panchayat, 11 Gram, Shambhu Singh Lodhi Road, Chandpur, Rangoli, Uttar Pradesh 230404",230402,25.8286815,81.93916,ChIJAQAA0PGVmjkRNGvONJ42bk8,https://www.google.com/maps/place/?q=place_id:ChIJAQAA0PGVmjkRNGvONJ42bk8,part_026,2026-09-19 05:51:51,8
Shafique Ganral Store,Organic Food Store,General store,"General store, Cosmetics store",230402,+91 94508 38609,N/A,5.0,1.0,"Matan Heliya Market, Punjabi Market, Harchetpur, Pratapgarh, Uttar Pradesh 230002","Punjabi Market, Harchetpur",25.894306,81.9392451,ChIJOXlVfT-VmjkRaeyJcBJWOh0,https://www.google.com/maps/place/?q=place_id:ChIJOXlVfT-VmjkRaeyJcBJWOh0,part_026,2026-09-19 05:51:51,9
KIWI Kisan Window,Organic Food Store,Organic food store,"Organic food store, Dry Fruit Store, Gourmet grocery store, Grocery delivery service, Indian grocery store, Juice shop, Produce market, Salad shop",230402,+91 95208 74791,https://kiwikisanwindow.com/?utm_source=google&utm_medium=gmb&utm_campaign=mohali&utm_term=sector-70,4.8,,"Shop No. 52, Jubilee walk, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071",Sector 70,30.6923969,76.712972,ChIJSb-UNcPvDzkRO7By0IrhTcI,https://www.google.com/maps/place/?q=place_id:ChIJSb-UNcPvDzkRO7By0IrhTcI,part_026,2026-09-19 05:51:52,10
